"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LIAS-1",11347.0003600365,-0.0274465172146217,0.00544528696666003,25.1621652657078,5.27061220928222e-07,9.42385463019661e-05
"MDM4-1",9545.89161081577,-0.033260752283688,0.0048245892645873,47.038097365006,6.96201773595968e-12,6.22404385594795e-09
"MRPS31-2",13761.781688065,0.0165813928240053,0.00364688238981384,20.7609553987414,5.20330561083445e-06,0.000516861690676222
"NACA-1",20392.0283033145,0.0216358310315011,0.00461982711107472,21.9337066480792,2.82232910777982e-06,0.000360451746050737
"NUF2-1",26018.6039192514,0.0296798070050738,0.00489494317203046,35.8920561770436,2.08557297065915e-09,9.32251117884638e-07
"SUPT6H-1",19729.8680560643,0.0202882660699303,0.00397176549729202,25.8997838522703,3.59609410067175e-07,8.03727031500135e-05
"CHEK1-WEE1-3",7925.88150258567,0.0284120008375839,0.0061257883095639,21.4946962822798,3.54808623014403e-06,0.000396498636218596
"NT-CHEK1-5-2",11563.747769707,0.0282353033782956,0.00480100654052817,34.931103589968,3.41580395284682e-09,1.01790957794835e-06
"NT-MCL1-3-4",7844.06911418743,-0.0266942548617705,0.00595870728275798,20.3457769805622,6.46355786153444e-06,0.000577842072821179
"NT-PARP2-3-2",19903.4906957914,0.02538716967685,0.00536435852605606,22.23298557098,2.41489219068272e-06,0.000359818936411726
